word,"number",length
A,"null",0
A,"null",0
A&apos;S,"z0",1
A.,"null",0
A.&apos;S,"z0",1
A.S,"z0",1
A42128,"z841211",6
AA,"null",0
AAA,"z1495",4
AABERG,"z947",3
AACHEN,"z72",2
AACHENER,"z724",3
AAH,"null",0
AAKER,"z74",2
AALIYAH,"z5",1
AALSETH,"z50",2
AAMODT,"z31",2
AANCOR,"z274",3
AARDEMA,"z413",3
AARDVARK,"z41847",5
AARDVARKS,"z418470",6
AARGH,"z47",2
AARON,"z42",2
AARON&apos;S,"z420",3
AARONS,"z420",3
AARONSON,"z4202",4
AARONSON,"z4202",4
AARONSON&apos;S,"z42020",5
AARONSON&apos;S,"z42020",5
AARTI,"z41",2
AASE,"z0",1
AASEN,"z02",2
AB,"z9",1
ABA,"z9",1
ABABA,"z99",2
ABABA,"z99",2
ABACHA,"z97",2
ABACK,"z97",2
ABACO,"z97",2
ABACUS,"z970",3
ABAD,"z91",2
ABADAKA,"z917",3
ABADI,"z91",2
ABADIE,"z91",2
ABAIR,"z94",2
ABALKIN,"z9572",4
ABALONE,"z952",3
ABALONES,"z9520",4
ABALOS,"z950",3
ABANDON,"z9212",4
ABANDONED,"z92121",5
ABANDONING,"z9212",4
ABANDONMENT,"z9212321",7
ABANDONMENTS,"z92123210",8
ABANDONS,"z92120",5
ABANTO,"z921",3
ABARCA,"z947",3
ABARE,"z94",2
ABASCAL,"z9075",4
ABASH,"z96",2
ABASHED,"z961",3
ABASIA,"z96",2
ABATE,"z91",2
ABATED,"z911",3
ABATEMENT,"z91321",5
ABATEMENTS,"z913210",6
ABATES,"z910",3
ABATING,"z91",2
ABBA,"z9",1
ABBADO,"z91",2
ABBAS,"z90",2
ABBASI,"z90",2
ABBATE,"z91",2
ABBATIELLO,"z915",3
ABBE,"z9",1
ABBE,"z9",1
ABBENHAUS,"z920",3
ABBETT,"z91",2
ABBEVILLE,"z985",3
ABBEY,"z9",1
ABBEY&apos;S,"z90",2
ABBIE,"z9",1
ABBITT,"z91",2
ABBOT,"z91",2
ABBOTSTOWN,"z91012",5
ABBOTT,"z91",2
ABBOTT&apos;S,"z910",3
ABBOTTSTOWN,"z91012",5
ABBOUD,"z91",2
ABBOUD,"z91",2
ABBREVIATE,"z9481",4
ABBREVIATED,"z94811",5
ABBREVIATES,"z94810",5
ABBREVIATING,"z9481",4
ABBREVIATION,"z94862",5
ABBREVIATIONS,"z948620",6
ABBRUZZESE,"z94100",5
ABBS,"z90",2
ABBY,"z9",1
ABC,"z90",2
ABC&apos;S,"z900",3
ABCO,"z97",2
ABCOTEK,"z9717",4
ABCS,"z900",3
ABDALLA,"z915",3
ABDALLAH,"z915",3
ABDEL,"z915",3
ABDELLA,"z915",3
ABDICATE,"z9171",4
ABDICATED,"z91711",5
ABDICATES,"z91710",5
ABDICATING,"z9171",4
ABDICATION,"z91762",5
ABDNOR,"z9124",4
ABDO,"z91",2
ABDOLLAH,"z915",3
ABDOMEN,"z9132",4
ABDOMEN,"z9132",4
ABDOMINAL,"z91325",5
ABDOMINAL,"z91325",5
ABDUCT,"z9171",4
ABDUCTED,"z91711",5
ABDUCTED,"z91711",5
ABDUCTEE,"z9171",4
ABDUCTEES,"z91710",5
ABDUCTING,"z9171",4
ABDUCTING,"z9171",4
ABDUCTION,"z91762",5
ABDUCTION,"z91762",5
ABDUCTIONS,"z917620",6
ABDUCTIONS,"z917620",6
ABDUCTOR,"z91714",5
ABDUCTOR,"z91714",5
ABDUCTORS,"z917140",6
ABDUCTORS,"z917140",6
ABDUCTS,"z91710",5
ABDUL,"z915",3
ABDULAZIZ,"z91500",5
ABDULLA,"z915",3
ABDULLAH,"z915",3
ABE,"z9",1
ABED,"z91",2
ABEDI,"z91",2
ABEE,"z9",1
ABEL,"z95",2
ABELA,"z95",2
ABELARD,"z9541",4
ABELE,"z95",2
ABELES,"z950",3
ABELES,"z950",3
ABELL,"z95",2
ABELLA,"z95",2
ABELN,"z952",3
ABELOW,"z95",2
ABELS,"z950",3
ABELSON,"z9502",4
ABEND,"z921",3
ABEND,"z921",3
ABENDROTH,"z9214",4
ABER,"z94",2
ABERCROMBIE,"z947439",6
ABERDEEN,"z9412",4
ABERFORD,"z94841",5
ABERG,"z947",3
ABERLE,"z945",3
ABERLE,"z945",3
ABERMIN,"z9432",4
ABERNATHY,"z942",3
ABERNETHY,"z942",3
ABERRANT,"z9421",4
ABERRATION,"z9462",4
ABERRATIONAL,"z94625",5
ABERRATIONS,"z94620",5
ABERT,"z941",3
ABET,"z91",2
ABETTED,"z911",3
ABETTING,"z91",2
ABEX,"z970",3
ABEYANCE,"z920",3
ABEYTA,"z91",2
ABHOR,"z94",2
ABHORRED,"z941",3
ABHORRENCE,"z9420",4
ABHORRENT,"z9421",4
ABHORS,"z940",3
ABIAM,"z93",2
ABIAM&apos;S,"z930",3
ABID,"z91",2
ABIDE,"z91",2
ABIDED,"z911",3
ABIDES,"z910",3
ABIDING,"z91",2
ABIDJAN,"z962",3
ABIE,"z9",1
ABIGAIL,"z975",3
ABILA,"z95",2
ABILENE,"z952",3
ABILITIES,"z9510",4
ABILITY,"z951",3
ABIMAEL,"z935",3
ABIMAELS,"z9350",4
ABINGDON,"z912",3
ABINGTON,"z912",3
ABIO,"z9",1
ABIOLA,"z95",2
ABIOLA&apos;S,"z950",3
ABIOMED,"z931",3
ABIQUIU,"z97",2
ABITIBI,"z919",3
ABITZ,"z910",3
ABJECT,"z9671",4
ABKHAZIA,"z970",3
ABKHAZIA,"z970",3
ABKHAZIAN,"z9702",4
ABKHAZIAN,"z9702",4
ABKHAZIAN,"z9702",4
ABKHAZIAN,"z9702",4
ABKHAZIANS,"z97020",5
ABKHAZIANS,"z97020",5
ABLAZE,"z950",3
ABLE,"z95",2
ABLE-BODIED,"z95911",5
ABLED,"z951",3
ABLER,"z954",3
ABLER,"z954",3
ABLES,"z950",3
ABLEST,"z9501",4
ABLEST,"z9501",4
ABLOOM,"z953",3
ABLY,"z95",2
ABNEGATION,"z92762",5
ABNER,"z924",3
ABNEY,"z92",2
ABNORMAL,"z92435",5
ABNORMALITIES,"z9243510",7
ABNORMALITY,"z924351",6
ABNORMALLY,"z92435",5
ABO,"z9",1
ABO&apos;S,"z90",2
ABOARD,"z941",3
ABODE,"z91",2
ABOHALIMA,"z953",3
ABOLISH,"z956",3
ABOLISHED,"z9561",4
ABOLISHES,"z9560",4
ABOLISHING,"z956",3
ABOLITION,"z9562",4
ABOLITIONISM,"z956203",6
ABOLITIONIST,"z956201",6
ABOLITIONISTS,"z9562010",7
ABOLITIONISTS,"z95620",5
ABOMINABLE,"z93295",5
ABOMINATION,"z93262",5
ABOMINATIONS,"z932620",6
ABOOD,"z91",2
ABOODI,"z91",2
ABOR,"z94",2
ABORIGINAL,"z94625",5
ABORIGINE,"z9462",4
ABORIGINES,"z94620",5
ABORN,"z942",3
ABORT,"z941",3
ABORTED,"z9411",4
ABORTIFACIENT,"z9418621",7
ABORTIFACIENTS,"z94186210",8
ABORTING,"z941",3
ABORTION,"z9462",4
ABORTIONIST,"z946201",6
ABORTIONISTS,"z9462010",7
ABORTIONISTS,"z94620",5
ABORTIONS,"z94620",5
ABORTIVE,"z9418",4
ABORTS,"z9410",4
ABOTT,"z91",2
ABOU,"z9",1
ABOUD,"z91",2
ABOUHALIMA,"z953",3
ABOUHALIMA&apos;S,"z9530",4
ABOUND,"z921",3
ABOUNDED,"z9211",4
ABOUNDING,"z921",3
ABOUNDS,"z9210",4
ABOUT,"z91",2
ABOUT&apos;S,"z910",3
ABOVE,"z98",2
ABOVE&apos;S,"z982000",6
ABOVEBOARD,"z98941",5
ABPLANALP,"z995259",6
ABRA,"z94",2
ABRACADABRA,"z947194",6
ABRAHAM,"z943",3
ABRAHAMIAN,"z9432",4
ABRAHAMS,"z9430",4
ABRAHAMSEN,"z94302",5
ABRAHAMSON,"z94302",5
ABRAM,"z943",3
ABRAM&apos;S,"z9430",4
ABRAMCZYK,"z94367",5
ABRAMO,"z943",3
ABRAMOVITZ,"z943810",6
ABRAMOWICZ,"z94386",5
ABRAMOWITZ,"z94310",5
ABRAMS,"z9430",4
ABRAMS&apos;S,"z94300",5
ABRAMSON,"z94302",5
ABRASION,"z9462",4
ABRASIONS,"z94620",5
ABRASIVE,"z9408",4
ABRASIVES,"z94080",5
ABRAXA,"z9470",4
ABRAXA&apos;S,"z94700",5
ABRAXAS,"z94700",5
ABREAST,"z9401",4
ABREGO,"z947",3
ABREU,"z94",2
ABRIDGE,"z946",3
ABRIDGED,"z9461",4
ABRIDGEMENT,"z946321",6
ABRIDGES,"z9460",4
ABRIDGING,"z946",3
ABRIL,"z945",3
ABROAD,"z941",3
ABROGATE,"z9471",4
ABROGATED,"z94711",5
ABROGATING,"z9471",4
ABROGATION,"z94762",5
ABROL,"z945",3
ABRON,"z942",3
ABRUPT,"z9491",4
ABRUPTLY,"z94915",5
ABRUPTNESS,"z949120",6
ABRUTYN,"z9412",4
ABRUZZESE,"z94100",5
ABRUZZO,"z940",3
ABS,"z90",2
ABS,"z90",2
ABSALOM,"z9053",4
ABSARAKA,"z9047",4
ABSCAM,"z9073",4
ABSCESS,"z900",3
ABSCOND,"z90721",5
ABSCONDED,"z907211",6
ABSCONDING,"z90721",5
ABSCONDS,"z907210",6
ABSECON,"z9072",4
ABSENCE,"z9020",4
ABSENCES,"z90200",5
ABSENT,"z9021",4
ABSENTEE,"z9021",4
ABSENTEEISM,"z902103",6
ABSENTEES,"z90210",5
ABSENTIA,"z9026",4
ABSHER,"z962004",6
ABSHIER,"z962004",6
ABSHIRE,"z964",3
ABSINTHE,"z902",3
ABSO,"z90",2
ABSOLOM,"z9053",4
ABSOLUT,"z9051",4
ABSOLUT&apos;S,"z90510",5
ABSOLUTE,"z9051",4
ABSOLUTELY,"z90515",5
ABSOLUTENESS,"z905120",6
ABSOLUTES,"z90510",5
ABSOLUTION,"z90562",5
ABSOLUTISM,"z905103",6
ABSOLUTIST,"z905101",6
ABSOLVE,"z9058",4
ABSOLVE,"z9058",4
ABSOLVED,"z90581",5
ABSOLVED,"z90581",5
ABSOLVES,"z90580",5
ABSOLVES,"z90580",5
ABSOLVING,"z9058",4
ABSOLVING,"z9058",4
ABSORB,"z9049",4
ABSORBED,"z90491",5
ABSORBENCY,"z904920",6
ABSORBENT,"z904921",6
ABSORBER,"z90494",5
ABSORBERS,"z904940",6
ABSORBING,"z9049",4
ABSORBS,"z90490",5
ABSORPTION,"z904962",6
ABSORPTION,"z904962",6
ABSTAIN,"z9012",4
ABSTAIN,"z9012",4
ABSTAINED,"z90121",5
ABSTAINED,"z90121",5
ABSTAINING,"z9012",4
ABSTAINING,"z9012",4
ABSTENTION,"z901262",6
ABSTENTION,"z901262",6
ABSTENTIONS,"z9012620",7
ABSTENTIONS,"z9012620",7
ABSTINENCE,"z901220",6
ABSTINENT,"z901221",6
ABSTON,"z9012",4
ABSTRACT,"z901471",6
ABSTRACT,"z901471",6
ABSTRACTED,"z9014711",7
ABSTRACTION,"z9014762",7
ABSTRACTIONS,"z90147620",8
ABSTRACTS,"z9014710",7
ABSTRUSE,"z90140",5
ABSURD,"z9041",4
ABSURDIST,"z904101",6
ABSURDITIES,"z904110",6
ABSURDITY,"z90411",5
ABSURDLY,"z90415",5
ABT,"z91",2
ABT,"z91",2
ABTS,"z910",3
ABTS,"z910",3
ABTS,"z910",3
ABU,"z9",1
ABUDRAHM,"z9143",4
ABUELLAH,"z95",2
ABUELLAH&apos;S,"z950",3
ABULADZE,"z9510",4
ABUNDANCE,"z92120",5
ABUNDANT,"z92121",5
ABUNDANTLY,"z921215",6
ABURTO,"z941",3
ABURTO&apos;S,"z9410",4
ABUSE,"z90",2
ABUSE,"z90",2
ABUSED,"z901",3
ABUSER,"z904",3
ABUSERS,"z9040",4
ABUSES,"z900",3
ABUSES,"z900",3
ABUSING,"z90",2
ABUSIVE,"z908",3
ABUT,"z91",2
ABUTS,"z910",3
ABUTTED,"z911",3
ABUTTING,"z91",2
ABUZZ,"z90",2
ABYSMAL,"z9035",4
ABYSMALLY,"z9035",4
ABYSS,"z90",2
ABYSSINIA,"z902",3
ABYSSINIAN,"z9022",4
ABZUG,"z907",3
ABZUG,"z907",3
AC,"z0",1
ACA,"z7",1
ACACIA,"z76",2
ACADEME,"z713",3
ACADEMIA,"z713",3
ACADEMIC,"z7137",4
ACADEMICALLY,"z71375",5
ACADEMICIAN,"z71362",5
ACADEMICIANS,"z713620",6
ACADEMICIANS,"z713620",6
ACADEMICS,"z71370",5
ACADEMIES,"z7130",4
ACADEMY,"z713",3
ACADEMY&apos;S,"z7130",4
ACADIA,"z71",2
ACAMPO,"z739",3
ACAMPORA,"z7394",4
ACAMPSIA,"z7390",4
ACANTHA,"z72",2
ACAPULCO,"z7957",4
ACARY,"z74",2
ACCARDI,"z741",3
ACCARDO,"z741",3
ACCEDE,"z701",3
ACCEDED,"z7011",4
ACCEDES,"z7010",4
ACCEDING,"z701",3
ACCEL,"z705",3
ACCELERANT,"z705421",6
ACCELERANTS,"z7054210",7
ACCELERATE,"z70541",5
ACCELERATED,"z705411",6
ACCELERATES,"z705410",6
ACCELERATING,"z70541",5
ACCELERATION,"z705462",6
ACCELERATOR,"z705414",6
ACCELERATORS,"z7054140",7
ACCELEROMETER,"z7054314",7
ACCELEROMETERS,"z70543140",8
ACCENT,"z7021",4
ACCENT,"z7021",4
ACCENTED,"z70211",5
ACCENTING,"z7021",4
ACCENTS,"z70210",5
ACCENTUATE,"z70261",5
ACCENTUATED,"z702611",6
ACCENTUATES,"z702610",6
ACCENTUATING,"z70261",5
ACCEPT,"z7091",4
ACCEPT,"z7091",4
ACCEPTABILITY,"z7091951",7
ACCEPTABLE,"z709195",6
ACCEPTABLE,"z709195",6
ACCEPTABLY,"z709195",6
ACCEPTABLY,"z709195",6
ACCEPTANCE,"z709120",6
ACCEPTANCE,"z709120",6
ACCEPTANCES,"z7091200",7
ACCEPTED,"z70911",5
ACCEPTING,"z7091",4
ACCEPTING,"z7091",4
ACCEPTS,"z70910",5
