word,"number",length
A,"null",0
A,"null",0
A&apos;S,"0",1
A.,"null",0
A.&apos;S,"0",1
A.S,"0",1
A42128,"841211",6
AA,"null",0
AAA,"1495",4
AABERG,"947",3
AACHEN,"72",2
AACHENER,"724",3
AAH,"null",0
AAKER,"74",2
AALIYAH,"5",1
AALSETH,"50",2
AAMODT,"31",2
AANCOR,"274",3
AARDEMA,"413",3
AARDVARK,"41847",5
AARDVARKS,"418470",6
AARGH,"47",2
AARON,"42",2
AARON&apos;S,"420",3
AARONS,"420",3
AARONSON,"4202",4
AARONSON,"4202",4
AARONSON&apos;S,"42020",5
AARONSON&apos;S,"42020",5
AARTI,"41",2
AASE,"0",1
AASEN,"02",2
AB,"9",1
ABA,"9",1
ABABA,"99",2
ABABA,"99",2
ABACHA,"97",2
ABACK,"97",2
ABACO,"97",2
ABACUS,"970",3
ABAD,"91",2
ABADAKA,"917",3
ABADI,"91",2
ABADIE,"91",2
ABAIR,"94",2
ABALKIN,"9572",4
ABALONE,"952",3
ABALONES,"9520",4
ABALOS,"950",3
ABANDON,"9212",4
ABANDONED,"92121",5
ABANDONING,"9212",4
ABANDONMENT,"9212321",7
ABANDONMENTS,"92123210",8
ABANDONS,"92120",5
ABANTO,"921",3
ABARCA,"947",3
ABARE,"94",2
ABASCAL,"9075",4
ABASH,"96",2
ABASHED,"961",3
ABASIA,"96",2
ABATE,"91",2
ABATED,"911",3
ABATEMENT,"91321",5
ABATEMENTS,"913210",6
ABATES,"910",3
ABATING,"91",2
ABBA,"9",1
ABBADO,"91",2
ABBAS,"90",2
ABBASI,"90",2
ABBATE,"91",2
ABBATIELLO,"915",3
ABBE,"9",1
ABBE,"9",1
ABBENHAUS,"920",3
ABBETT,"91",2
ABBEVILLE,"985",3
ABBEY,"9",1
ABBEY&apos;S,"90",2
ABBIE,"9",1
ABBITT,"91",2
ABBOT,"91",2
ABBOTSTOWN,"91012",5
ABBOTT,"91",2
ABBOTT&apos;S,"910",3
ABBOTTSTOWN,"91012",5
ABBOUD,"91",2
ABBOUD,"91",2
ABBREVIATE,"9481",4
ABBREVIATED,"94811",5
ABBREVIATES,"94810",5
ABBREVIATING,"9481",4
ABBREVIATION,"94862",5
ABBREVIATIONS,"948620",6
ABBRUZZESE,"94100",5
ABBS,"90",2
ABBY,"9",1
ABC,"90",2
ABC&apos;S,"900",3
ABCO,"97",2
ABCOTEK,"9717",4
ABCS,"900",3
ABDALLA,"915",3
ABDALLAH,"915",3
ABDEL,"915",3
ABDELLA,"915",3
ABDICATE,"9171",4
ABDICATED,"91711",5
ABDICATES,"91710",5
ABDICATING,"9171",4
ABDICATION,"91762",5
ABDNOR,"9124",4
ABDO,"91",2
ABDOLLAH,"915",3
ABDOMEN,"9132",4
ABDOMEN,"9132",4
ABDOMINAL,"91325",5
ABDOMINAL,"91325",5
ABDUCT,"9171",4
ABDUCTED,"91711",5
ABDUCTED,"91711",5
ABDUCTEE,"9171",4
ABDUCTEES,"91710",5
ABDUCTING,"9171",4
ABDUCTING,"9171",4
ABDUCTION,"91762",5
ABDUCTION,"91762",5
ABDUCTIONS,"917620",6
ABDUCTIONS,"917620",6
ABDUCTOR,"91714",5
ABDUCTOR,"91714",5
ABDUCTORS,"917140",6
ABDUCTORS,"917140",6
ABDUCTS,"91710",5
ABDUL,"915",3
ABDULAZIZ,"91500",5
ABDULLA,"915",3
ABDULLAH,"915",3
ABE,"9",1
ABED,"91",2
ABEDI,"91",2
ABEE,"9",1
ABEL,"95",2
ABELA,"95",2
ABELARD,"9541",4
ABELE,"95",2
ABELES,"950",3
ABELES,"950",3
ABELL,"95",2
ABELLA,"95",2
ABELN,"952",3
ABELOW,"95",2
ABELS,"950",3
ABELSON,"9502",4
ABEND,"921",3
ABEND,"921",3
ABENDROTH,"9214",4
ABER,"94",2
ABERCROMBIE,"947439",6
ABERDEEN,"9412",4
ABERFORD,"94841",5
ABERG,"947",3
ABERLE,"945",3
ABERLE,"945",3
ABERMIN,"9432",4
ABERNATHY,"942",3
ABERNETHY,"942",3
ABERRANT,"9421",4
ABERRATION,"9462",4
ABERRATIONAL,"94625",5
ABERRATIONS,"94620",5
ABERT,"941",3
ABET,"91",2
ABETTED,"911",3
ABETTING,"91",2
ABEX,"970",3
ABEYANCE,"920",3
ABEYTA,"91",2
ABHOR,"94",2
ABHORRED,"941",3
ABHORRENCE,"9420",4
ABHORRENT,"9421",4
ABHORS,"940",3
ABIAM,"93",2
ABIAM&apos;S,"930",3
ABID,"91",2
ABIDE,"91",2
ABIDED,"911",3
ABIDES,"910",3
ABIDING,"91",2
ABIDJAN,"962",3
ABIE,"9",1
ABIGAIL,"975",3
ABILA,"95",2
ABILENE,"952",3
ABILITIES,"9510",4
ABILITY,"951",3
ABIMAEL,"935",3
ABIMAELS,"9350",4
ABINGDON,"912",3
ABINGTON,"912",3
ABIO,"9",1
ABIOLA,"95",2
ABIOLA&apos;S,"950",3
ABIOMED,"931",3
ABIQUIU,"97",2
ABITIBI,"919",3
ABITZ,"910",3
ABJECT,"9671",4
ABKHAZIA,"970",3
ABKHAZIA,"970",3
ABKHAZIAN,"9702",4
ABKHAZIAN,"9702",4
ABKHAZIAN,"9702",4
ABKHAZIAN,"9702",4
ABKHAZIANS,"97020",5
ABKHAZIANS,"97020",5
ABLAZE,"950",3
ABLE,"95",2
ABLE-BODIED,"95911",5
ABLED,"951",3
ABLER,"954",3
ABLER,"954",3
ABLES,"950",3
ABLEST,"9501",4
ABLEST,"9501",4
ABLOOM,"953",3
ABLY,"95",2
ABNEGATION,"92762",5
ABNER,"924",3
ABNEY,"92",2
ABNORMAL,"92435",5
ABNORMALITIES,"9243510",7
ABNORMALITY,"924351",6
ABNORMALLY,"92435",5
ABO,"9",1
ABO&apos;S,"90",2
ABOARD,"941",3
ABODE,"91",2
ABOHALIMA,"953",3
ABOLISH,"956",3
ABOLISHED,"9561",4
ABOLISHES,"9560",4
ABOLISHING,"956",3
ABOLITION,"9562",4
ABOLITIONISM,"956203",6
ABOLITIONIST,"956201",6
ABOLITIONISTS,"9562010",7
ABOLITIONISTS,"95620",5
ABOMINABLE,"93295",5
ABOMINATION,"93262",5
ABOMINATIONS,"932620",6
ABOOD,"91",2
ABOODI,"91",2
ABOR,"94",2
ABORIGINAL,"94625",5
ABORIGINE,"9462",4
ABORIGINES,"94620",5
ABORN,"942",3
ABORT,"941",3
ABORTED,"9411",4
ABORTIFACIENT,"9418621",7
ABORTIFACIENTS,"94186210",8
ABORTING,"941",3
ABORTION,"9462",4
ABORTIONIST,"946201",6
ABORTIONISTS,"9462010",7
ABORTIONISTS,"94620",5
ABORTIONS,"94620",5
ABORTIVE,"9418",4
ABORTS,"9410",4
ABOTT,"91",2
ABOU,"9",1
ABOUD,"91",2
ABOUHALIMA,"953",3
ABOUHALIMA&apos;S,"9530",4
ABOUND,"921",3
ABOUNDED,"9211",4
ABOUNDING,"921",3
ABOUNDS,"9210",4
ABOUT,"91",2
ABOUT&apos;S,"910",3
ABOVE,"98",2
ABOVE&apos;S,"982000",6
ABOVEBOARD,"98941",5
ABPLANALP,"995259",6
ABRA,"94",2
ABRACADABRA,"947194",6
ABRAHAM,"943",3
ABRAHAMIAN,"9432",4
ABRAHAMS,"9430",4
ABRAHAMSEN,"94302",5
ABRAHAMSON,"94302",5
ABRAM,"943",3
ABRAM&apos;S,"9430",4
ABRAMCZYK,"94367",5
ABRAMO,"943",3
ABRAMOVITZ,"943810",6
ABRAMOWICZ,"94386",5
ABRAMOWITZ,"94310",5
ABRAMS,"9430",4
ABRAMS&apos;S,"94300",5
ABRAMSON,"94302",5
ABRASION,"9462",4
ABRASIONS,"94620",5
ABRASIVE,"9408",4
ABRASIVES,"94080",5
ABRAXA,"9470",4
ABRAXA&apos;S,"94700",5
ABRAXAS,"94700",5
ABREAST,"9401",4
ABREGO,"947",3
ABREU,"94",2
ABRIDGE,"946",3
ABRIDGED,"9461",4
ABRIDGEMENT,"946321",6
ABRIDGES,"9460",4
ABRIDGING,"946",3
ABRIL,"945",3
ABROAD,"941",3
ABROGATE,"9471",4
ABROGATED,"94711",5
ABROGATING,"9471",4
ABROGATION,"94762",5
ABROL,"945",3
ABRON,"942",3
ABRUPT,"9491",4
ABRUPTLY,"94915",5
ABRUPTNESS,"949120",6
ABRUTYN,"9412",4
ABRUZZESE,"94100",5
ABRUZZO,"940",3
ABS,"90",2
ABS,"90",2
ABSALOM,"9053",4
ABSARAKA,"9047",4
ABSCAM,"9073",4
ABSCESS,"900",3
ABSCOND,"90721",5
ABSCONDED,"907211",6
ABSCONDING,"90721",5
ABSCONDS,"907210",6
ABSECON,"9072",4
ABSENCE,"9020",4
ABSENCES,"90200",5
ABSENT,"9021",4
ABSENTEE,"9021",4
ABSENTEEISM,"902103",6
ABSENTEES,"90210",5
ABSENTIA,"9026",4
ABSHER,"962004",6
ABSHIER,"962004",6
ABSHIRE,"964",3
ABSINTHE,"902",3
ABSO,"90",2
ABSOLOM,"9053",4
ABSOLUT,"9051",4
ABSOLUT&apos;S,"90510",5
ABSOLUTE,"9051",4
ABSOLUTELY,"90515",5
ABSOLUTENESS,"905120",6
ABSOLUTES,"90510",5
ABSOLUTION,"90562",5
ABSOLUTISM,"905103",6
ABSOLUTIST,"905101",6
ABSOLVE,"9058",4
ABSOLVE,"9058",4
ABSOLVED,"90581",5
ABSOLVED,"90581",5
ABSOLVES,"90580",5
ABSOLVES,"90580",5
ABSOLVING,"9058",4
ABSOLVING,"9058",4
ABSORB,"9049",4
ABSORBED,"90491",5
ABSORBENCY,"904920",6
ABSORBENT,"904921",6
ABSORBER,"90494",5
ABSORBERS,"904940",6
ABSORBING,"9049",4
ABSORBS,"90490",5
ABSORPTION,"904962",6
ABSORPTION,"904962",6
ABSTAIN,"9012",4
ABSTAIN,"9012",4
ABSTAINED,"90121",5
ABSTAINED,"90121",5
ABSTAINING,"9012",4
ABSTAINING,"9012",4
ABSTENTION,"901262",6
ABSTENTION,"901262",6
ABSTENTIONS,"9012620",7
ABSTENTIONS,"9012620",7
ABSTINENCE,"901220",6
ABSTINENT,"901221",6
ABSTON,"9012",4
ABSTRACT,"901471",6
ABSTRACT,"901471",6
ABSTRACTED,"9014711",7
ABSTRACTION,"9014762",7
ABSTRACTIONS,"90147620",8
ABSTRACTS,"9014710",7
ABSTRUSE,"90140",5
ABSURD,"9041",4
ABSURDIST,"904101",6
ABSURDITIES,"904110",6
ABSURDITY,"90411",5
ABSURDLY,"90415",5
ABT,"91",2
ABT,"91",2
ABTS,"910",3
ABTS,"910",3
ABTS,"910",3
ABU,"9",1
ABUDRAHM,"9143",4
ABUELLAH,"95",2
ABUELLAH&apos;S,"950",3
ABULADZE,"9510",4
ABUNDANCE,"92120",5
ABUNDANT,"92121",5
ABUNDANTLY,"921215",6
ABURTO,"941",3
ABURTO&apos;S,"9410",4
ABUSE,"90",2
ABUSE,"90",2
ABUSED,"901",3
ABUSER,"904",3
ABUSERS,"9040",4
ABUSES,"900",3
ABUSES,"900",3
ABUSING,"90",2
ABUSIVE,"908",3
ABUT,"91",2
ABUTS,"910",3
ABUTTED,"911",3
ABUTTING,"91",2
ABUZZ,"90",2
ABYSMAL,"9035",4
ABYSMALLY,"9035",4
ABYSS,"90",2
ABYSSINIA,"902",3
ABYSSINIAN,"9022",4
ABZUG,"907",3
ABZUG,"907",3
AC,"0",1
ACA,"7",1
ACACIA,"76",2
ACADEME,"713",3
ACADEMIA,"713",3
ACADEMIC,"7137",4
ACADEMICALLY,"71375",5
ACADEMICIAN,"71362",5
ACADEMICIANS,"713620",6
ACADEMICIANS,"713620",6
ACADEMICS,"71370",5
ACADEMIES,"7130",4
ACADEMY,"713",3
ACADEMY&apos;S,"7130",4
ACADIA,"71",2
ACAMPO,"739",3
ACAMPORA,"7394",4
ACAMPSIA,"7390",4
ACANTHA,"72",2
ACAPULCO,"7957",4
ACARY,"74",2
ACCARDI,"741",3
ACCARDO,"741",3
ACCEDE,"701",3
ACCEDED,"7011",4
ACCEDES,"7010",4
ACCEDING,"701",3
ACCEL,"705",3
ACCELERANT,"705421",6
ACCELERANTS,"7054210",7
ACCELERATE,"70541",5
ACCELERATED,"705411",6
ACCELERATES,"705410",6
ACCELERATING,"70541",5
ACCELERATION,"705462",6
ACCELERATOR,"705414",6
ACCELERATORS,"7054140",7
ACCELEROMETER,"7054314",7
ACCELEROMETERS,"70543140",8
ACCENT,"7021",4
ACCENT,"7021",4
ACCENTED,"70211",5
ACCENTING,"7021",4
ACCENTS,"70210",5
ACCENTUATE,"70261",5
ACCENTUATED,"702611",6
ACCENTUATES,"702610",6
ACCENTUATING,"70261",5
ACCEPT,"7091",4
ACCEPT,"7091",4
ACCEPTABILITY,"7091951",7
ACCEPTABLE,"709195",6
ACCEPTABLE,"709195",6
ACCEPTABLY,"709195",6
ACCEPTABLY,"709195",6
ACCEPTANCE,"709120",6
ACCEPTANCE,"709120",6
ACCEPTANCES,"7091200",7
ACCEPTED,"70911",5
ACCEPTING,"7091",4
ACCEPTING,"7091",4
ACCEPTS,"70910",5
ACCESS,"700",3
ACCESSED,"7001",4
ACCESSIBILITY,"700951",6
ACCESSIBLE,"70095",5
ACCESSING,"700",3
ACCESSION,"7062",4
ACCESSORIES,"70040",5
ACCESSORIZE,"70040",5
ACCESSORIZED,"700401",6
ACCESSORY,"7004",4
ACCETTA,"61",2
ACCIDENT,"70121",5
ACCIDENT&apos;S,"701210",6
ACCIDENTAL,"701215",6
ACCIDENTAL,"70125",5
ACCIDENTALLY,"701215",6
ACCIDENTALLY,"70125",5
ACCIDENTLY,"701215",6
ACCIDENTS,"701210",6
ACCION,"62",2
ACCIVAL,"085",3
ACCLAIM,"753",3
ACCLAIM&apos;S,"7530",4
ACCLAIMED,"7531",4
ACCLAIMING,"753",3
ACCLAIMS,"7530",4
ACCLAMATION,"75362",5
ACCLIMATE,"7531",4
ACCLIMATED,"75311",5
ACCLIMATION,"75362",5
ACCO,"7",1
ACCOKEEK,"777",3
ACCOLA,"75",2
ACCOLADE,"751",3
